imgsz,phys_lo_px,phys_hi_px,n_gt,recall_mean,recall_std,n_seeds
1920,0,8,0,nan,0.0,5
1920,8,16,2,0.0,0.0,5
1920,16,24,80,0.1475,0.0335,5
1920,24,32,246,0.1285,0.0365,5
1920,32,48,992,0.4248,0.104,5
1920,48,64,939,0.7195,0.0765,5
1920,64,96,990,0.8341,0.0483,5
1920,96,128,410,0.8176,0.0686,5
1920,128,192,346,0.8382,0.0772,5
1920,192,inf,62,0.829,0.1024,5
2560,0,8,0,nan,0.0,5
2560,8,16,2,0.0,0.0,5
2560,16,24,80,0.1125,0.0415,5
2560,24,32,246,0.0894,0.0444,5
2560,32,48,992,0.3421,0.1009,5
2560,48,64,939,0.6015,0.0934,5
2560,64,96,990,0.7333,0.0994,5
2560,96,128,410,0.7746,0.0996,5
2560,128,192,346,0.7717,0.1273,5
2560,192,inf,62,0.6968,0.2025,5
3840,0,8,0,nan,0.0,5
3840,8,16,2,0.0,0.0,5
3840,16,24,80,0.0475,0.0347,5
3840,24,32,246,0.035,0.0492,5
3840,32,48,992,0.178,0.1227,5
3840,48,64,939,0.3815,0.1726,5
3840,64,96,990,0.6129,0.175,5
3840,96,128,410,0.6561,0.1582,5
3840,128,192,346,0.5116,0.2164,5
3840,192,inf,62,0.2452,0.2009,5
